Array Size,S Value,Runtime (s),Comparisons
1000,1,0.0028234400000656024,8707.0
1000,2,0.0019014799998331,8707.0
1000,3,0.0017779199999495177,8708.4
1000,4,0.0014709399998537264,8772.0
1000,5,0.0014926200001355028,8772.0
1000,6,0.0015683400000853,8772.0
1000,7,0.0014699600000312786,8823.4
1000,8,0.0013025599999309633,9135.6
1000,9,0.0012219200001709397,9135.6
1000,10,0.0013863200001651421,9135.6
1000,11,0.0013616000002002692,9135.6
1000,12,0.0012913999999000225,9135.6
1000,13,0.0012979200000700075,9135.6
1000,14,0.0012953799998285831,9135.6
1000,15,0.0014779199997065006,9491.8
1000,16,0.001377439999851049,10262.8
1000,17,0.0012754000001223176,10262.8
1000,18,0.0012281799999982468,10262.8
1000,19,0.0013774799999737297,10262.8
1000,20,0.0013355600000068079,10262.8
1000,21,0.0012928600001032465,10262.8
1000,22,0.0012311800001043594,10262.8
1000,23,0.0012673600000198348,10262.8
1000,24,0.0013482800002748263,10262.8
1000,25,0.001384219999999914,10262.8
1000,26,0.0013536999998905231,10262.8
1000,27,0.0012580399998114444,10262.8
1000,28,0.0014063800001167693,10262.8
1000,29,0.0013786800001980737,10262.8
1000,30,0.0012883399998827373,10262.8
5000,1,0.01237833999985014,55256.0
5000,2,0.010264379999898664,55256.0
5000,3,0.009448539999721107,55255.0
5000,4,0.009215019999828655,55281.0
5000,5,0.008672120000119321,55781.0
5000,6,0.008410619999995105,55781.0
5000,7,0.008756739999989804,55781.0
5000,8,0.009079660000134026,55781.0
5000,9,0.008432039999934204,56273.6
5000,10,0.008067479999772332,58551.0
5000,11,0.008075819999794476,58551.0
5000,12,0.008034099999895261,58551.0
5000,13,0.00819444000007934,58551.0
5000,14,0.008444019999842567,58551.0
5000,15,0.008140780000030646,58551.0
5000,16,0.008349300000190851,58551.0
5000,17,0.008033059999979742,58551.0
5000,18,0.00835618000019167,58551.0
5000,19,0.009017639999910898,62082.6
5000,20,0.008845400000245718,66681.4
5000,21,0.00875821999998152,66681.4
5000,22,0.008663280000109807,66681.4
5000,23,0.008855080000103044,66681.4
5000,24,0.008746700000119744,66681.4
5000,25,0.008468299999913142,66681.4
5000,26,0.008733440000105475,66681.4
5000,27,0.008701079999991635,66681.4
5000,28,0.008769699999720614,66681.4
5000,29,0.008557000000109838,66681.4
5000,30,0.00882872000001953,66681.4
10000,1,0.025730799999837472,120498.8
10000,2,0.022466139999778534,120498.8
10000,3,0.02217821999984153,120497.0
10000,4,0.021634139999878243,120547.2
10000,5,0.019671439999729045,121543.8
10000,6,0.019000079999932494,121543.8
10000,7,0.019553760000053443,121543.8
10000,8,0.01973440000001574,121543.8
10000,9,0.018787380000139818,122574.4
10000,10,0.01803187999976217,127069.4
10000,11,0.01836880000009842,127069.4
10000,12,0.017996080000011717,127069.4
10000,13,0.017828779999945255,127069.4
10000,14,0.018415340000137802,127069.4
10000,15,0.019190019999950892,127069.4
10000,16,0.018971180000153253,127069.4
10000,17,0.01872672000026796,127069.4
10000,18,0.01921356000002561,127069.4
10000,19,0.019925679999869318,134259.8
10000,20,0.019885259999864503,143632.6
10000,21,0.019885640000211424,143632.6
10000,22,0.019944540000142296,143632.6
10000,23,0.020237520000046062,143632.6
10000,24,0.01937656000009156,143632.6
10000,25,0.019121400000040013,143632.6
10000,26,0.01898663999982091,143632.6
10000,27,0.019506259999980104,143632.6
10000,28,0.01949162000000797,143632.6
10000,29,0.018873920000078214,143632.6
10000,30,0.01858781999999337,143632.6
50000,1,0.15094325999998545,718085.6
50000,2,0.13383247999991,718085.6
50000,3,0.11893542000016169,718134.2
50000,4,0.1172653599998739,718308.8
50000,5,0.11508207999995648,718308.8
50000,6,0.10935599999975239,727153.4
50000,7,0.11231590000043071,728776.0
50000,8,0.10848177999960171,728776.0
50000,9,0.10877775999997538,728776.0
50000,10,0.10895522000009805,728776.0
50000,11,0.11476025999963894,728776.0
50000,12,0.11088187999994262,759499.8
50000,13,0.10899103999981889,769340.2
50000,14,0.11111522000028344,769340.2
50000,15,0.11265528000003541,769340.2
50000,16,0.11205537999994704,769340.2
50000,17,0.11032694000004994,769340.2
50000,18,0.11064086000023962,769340.2
50000,19,0.10815873999981704,769340.2
50000,20,0.11349043999962305,769340.2
50000,21,0.11247364000009838,769340.2
50000,22,0.11274273999970319,769340.2
50000,23,0.11410778000008577,769340.2
50000,24,0.11827368000012939,832094.0
50000,25,0.12183332000004157,880857.0
50000,26,0.12245090000014898,880857.0
50000,27,0.12440141999995831,880857.0
50000,28,0.1224703000001682,880857.0
50000,29,0.12550294000011492,880857.0
50000,30,0.12231429999992542,880857.0
100000,1,0.3383606000001237,1536302.2
100000,2,0.30380481999982295,1536302.2
100000,3,0.2728790999997727,1536342.0
100000,4,0.26551885999979274,1536759.4
100000,5,0.2597680200002287,1536759.4
100000,6,0.2588060400001268,1554769.2
100000,7,0.2651579799998217,1558031.8
100000,8,0.2514308199999505,1558031.8
100000,9,0.25407687999977496,1558031.8
100000,10,0.24311429999997927,1558031.8
100000,11,0.23825981999998475,1558031.8
100000,12,0.2467430600001535,1619690.2
100000,13,0.24437010000019654,1639440.6
100000,14,0.24532231999983195,1639440.6
100000,15,0.2474095199999283,1639440.6
100000,16,0.2403536800000438,1639440.6
100000,17,0.23922555999997713,1639440.6
100000,18,0.25537035999986984,1639440.6
100000,19,0.2374035199998616,1639440.6
100000,20,0.2403498400000899,1639440.6
100000,21,0.2387719400001515,1639440.6
100000,22,0.24306746000020213,1639440.6
100000,23,0.2493386800000735,1639440.6
100000,24,0.24977022000002763,1765015.0
100000,25,0.252563459999692,1862202.2
100000,26,0.25126210000034915,1862202.2
100000,27,0.26200497999998335,1862202.2
100000,28,0.2715980999997555,1862202.2
100000,29,0.2521418800000902,1862202.2
100000,30,0.2717031799998949,1862202.2
500000,1,1.8314453000002686,8837370.2
500000,2,1.636866900000132,8837370.2
500000,3,1.6424913599999855,8837335.4
500000,4,1.5510471199997482,8864059.8
500000,5,1.5492350000000443,8864059.8
500000,6,1.518063560000155,8864059.8
500000,7,1.483687699999973,8910783.4
500000,8,1.4698840999999447,9037000.2
500000,9,1.4733184800001253,9037000.2
500000,10,1.4739644599998427,9037000.2
500000,11,1.4450204400000075,9037000.2
500000,12,1.468710519999877,9037000.2
500000,13,1.4428970600003594,9037000.2
500000,14,1.4843453400000726,9037000.2
500000,15,1.5094342399996095,9443849.8
500000,16,1.494459299999835,9612181.4
500000,17,1.5032412600001408,9612181.4
500000,18,1.52838103999984,9612181.4
