Array Size,Seed,S Value,Runtime (s),Comparisons
1000,42,1,0.006067299999813258,8683
1000,42,2,0.002304300000105286,8683
1000,42,3,0.00219809999998688,8684
1000,42,4,0.0016448999995191116,8757
1000,42,5,0.0016845999998622574,8757
1000,42,6,0.0018198000007032533,8757
1000,42,7,0.0013382999995883438,8803
1000,42,8,0.0014935999997760518,9131
1000,42,9,0.0012409000000843662,9131
1000,42,10,0.0015327000000979751,9131
1000,42,11,0.0012320999994699378,9131
1000,42,12,0.0012231000000610948,9131
1000,42,13,0.001266100000066217,9131
1000,42,14,0.001227699999617471,9131
1000,42,15,0.0015321999999287073,9470
1000,42,16,0.0012945999997100444,10372
1000,42,17,0.0012697000001935521,10372
1000,42,18,0.0012436000006346148,10372
1000,42,19,0.0012941999993927311,10372
1000,42,20,0.0012739000003421097,10372
1000,42,21,0.0012476000001697685,10372
1000,42,22,0.001241699999809498,10372
1000,42,23,0.001245500000550237,10372
1000,42,24,0.001570700000229408,10372
1000,42,25,0.001448799999707262,10372
1000,42,26,0.001554999999825668,10372
1000,42,27,0.001261299999896437,10372
1000,42,28,0.0014651999999841792,10372
1000,42,29,0.0013423999998849467,10372
1000,42,30,0.0012546999996629893,10372
1000,43,1,0.0019362000002729474,8701
1000,43,2,0.00188479999997071,8701
1000,43,3,0.0015325000003940659,8706
1000,43,4,0.0013310999993336736,8749
1000,43,5,0.0013385000002017478,8749
1000,43,6,0.0018196000000898493,8749
1000,43,7,0.0015969999994922546,8793
1000,43,8,0.0012262999998711166,9111
1000,43,9,0.0012096000000383356,9111
1000,43,10,0.0014685999994981103,9111
1000,43,11,0.0013594000001830864,9111
1000,43,12,0.0012784000000465312,9111
1000,43,13,0.0012408000002324115,9111
1000,43,14,0.001357799999823328,9111
1000,43,15,0.0016089000000647502,9442
1000,43,16,0.001360499999464082,10175
1000,43,17,0.0013668000001416658,10175
1000,43,18,0.0012159999996583792,10175
1000,43,19,0.0016415999998571351,10175
1000,43,20,0.001486500000282831,10175
1000,43,21,0.0014394999998330604,10175
1000,43,22,0.001295100000788807,10175
1000,43,23,0.0014764999996259576,10175
1000,43,24,0.0012665000003835303,10175
1000,43,25,0.0013644999999087304,10175
1000,43,26,0.0013917000005676528,10175
1000,43,27,0.0012864999998782878,10175
1000,43,28,0.001712500000394357,10175
1000,43,29,0.0013715000004594913,10175
1000,43,30,0.001214399999298621,10175
1000,44,1,0.002054800000223622,8720
1000,44,2,0.0017656999998507672,8720
1000,44,3,0.0015376999999716645,8723
1000,44,4,0.0014378000005308422,8784
1000,44,5,0.0014823000001342734,8784
1000,44,6,0.00139969999963796,8784
1000,44,7,0.0013679000003321562,8844
1000,44,8,0.0012661999999181717,9181
1000,44,9,0.0012326999994911603,9181
1000,44,10,0.0014573000007658266,9181
1000,44,11,0.0013252000007923925,9181
1000,44,12,0.0013459000001603272,9181
1000,44,13,0.0012899000003017136,9181
1000,44,14,0.0013642000003528665,9181
1000,44,15,0.0013791999999739346,9524
1000,44,16,0.0013619999999718857,10335
1000,44,17,0.001217299999552779,10335
1000,44,18,0.0012144000002081157,10335
1000,44,19,0.0015339000001404202,10335
1000,44,20,0.001237500000570435,10335
1000,44,21,0.001208300000143936,10335
1000,44,22,0.0012163000001237378,10335
1000,44,23,0.0012113000002500485,10335
1000,44,24,0.0013227999997980078,10335
1000,44,25,0.0012214999997013365,10335
1000,44,26,0.0012108000000807806,10335
1000,44,27,0.0012250999998286716,10335
1000,44,28,0.0012643000000025495,10335
1000,44,29,0.0013853000000381144,10335
1000,44,30,0.001230300000315765,10335
1000,45,1,0.002074400000310561,8734
1000,45,2,0.0019519999996191473,8734
1000,45,3,0.0016347000000678236,8734
1000,45,4,0.0015032999999675667,8796
1000,45,5,0.0016636999998809188,8796
1000,45,6,0.001512199999524455,8796
1000,45,7,0.0013158000001567416,8824
1000,45,8,0.001200300000164134,9082
1000,45,9,0.0012140000008002971,9082
1000,45,10,0.0012440000000424334,9082
